date,company,likecount,retweetcount
1624453203000,Pfizer,62,7
1624381206000,Pfizer,39,7
1624372288000,Pfizer,31,6
1624370400000,Pfizer,48,8
1624197601000,Pfizer,39,10
1624196295000,Pfizer,70,13
1624114805000,Pfizer,30,5
1623961830000,Pfizer,99,35
1623959722000,Pfizer,35,10
1623936978000,Pfizer,32,6
1623936601000,Pfizer,27,8
1623852010000,Pfizer,32,4
1623783602000,Pfizer,27,4
1623769205000,Pfizer,38,3
1623425298000,Pfizer,55,12
1623360300000,Pfizer,59,6
1623322805000,Pfizer,129,37
1623243602000,Pfizer,66,15
1623154438000,Pfizer,113,65
1623154413000,Pfizer,297,113
1623089701000,Pfizer,50,14
1622984400000,Pfizer,86,15
1622818802000,Pfizer,98,13
1622815202000,Pfizer,48,13
1622813952000,Pfizer,46,21
1622646002000,Pfizer,23,6
1622559547000,Pfizer,138,27
1622469604000,Pfizer,66,11
1622214026000,Pfizer,30,5
1622210400000,Pfizer,36,6
1622145662000,Pfizer,60,13
1622041745000,Pfizer,31,2
1622041207000,Pfizer,22,3
1622037601000,Pfizer,38,8
1621890025000,Pfizer,71,18
1621888200000,Pfizer,45,6
1621875604000,Pfizer,29,2
1621533603000,Pfizer,47,6
1621533602000,Pfizer,46,7
1621516520000,Pfizer,157,38
1621470620000,Pfizer,52,8
1621455999000,Pfizer,61,15
1621445423000,Pfizer,33,7
1621346403000,Pfizer,42,14
1621345172000,Pfizer,20,3
1621263606000,Pfizer,56,16
1621260015000,Pfizer,40,7
1621021580000,Pfizer,31,4
1621000816000,Pfizer,57,13
1620932833000,Pfizer,64,9
1620921606000,Pfizer,53,15
1620917108000,Pfizer,66,12
1620851433000,Pfizer,487,152
1620848684000,Pfizer,255,125
1620848684000,Pfizer,52,10
1620848683000,Pfizer,124,43
1620848051000,Pfizer,32,16
1620844200000,Pfizer,74,20
1620835212000,Pfizer,27,9
1620828007000,Pfizer,26,4
1620828001000,Pfizer,40,9
1620761400000,Pfizer,82,14
1620684888000,Pfizer,97,30
1620684888000,Pfizer,60,12
1620684887000,Pfizer,33,9
1620684885000,Pfizer,370,129
1620684407000,Pfizer,403,105
1620655217000,Pfizer,34,4
1620400210000,Pfizer,99,21
1620397138000,Pfizer,343,67
1620386271000,Pfizer,1376,600
1620386270000,Pfizer,772,150
1620386270000,Pfizer,3738,1270
1620320406000,Pfizer,43,8
1620300832000,Pfizer,151,58
1620241776000,Pfizer,59,13
1620061200000,Pfizer,84,27
1620050415000,Pfizer,49,14
1620046881000,Pfizer,1108,207
1620046880000,Pfizer,2699,922
1620046879000,Pfizer,672,136
1620046800000,Pfizer,8329,2582
1619719205000,Pfizer,57,7
1619714401000,Pfizer,59,16
1619701425000,Pfizer,38,7
1619644507000,Pfizer,83,14
1619618429000,Pfizer,77,36
1619614801000,Pfizer,56,24
1619612752000,Pfizer,27,13
1619612659000,Pfizer,41,13
1619612564000,Pfizer,123,33
1619555400000,Pfizer,91,26
1619550001000,Pfizer,40,7
1619543118000,Pfizer,62,8
1619462834000,Pfizer,81,15
1619460004000,Pfizer,23,4
1619452819000,Pfizer,36,8
1619445602000,Pfizer,56,10
1619444249000,Pfizer,38,7
1619269207000,Pfizer,90,19
1619190056000,Pfizer,72,18
1619122200000,Pfizer,48,12
1619119800000,Pfizer,27,4
1619100012000,Pfizer,49,8
1619094647000,Pfizer,115,35
1619028002000,Pfizer,56,9
1619017213000,Pfizer,37,13
1619017205000,Pfizer,33,4
1619011006000,Pfizer,78,14
1618857000000,Pfizer,81,16
1618851063000,Pfizer,63,12
1618840827000,Pfizer,46,7
1618585217000,Pfizer,48,7
1618583133000,Pfizer,1,0
1618516803000,Pfizer,61,12
1618491651000,Pfizer,59,13
1618422390000,Pfizer,53,14
1618408807000,Pfizer,64,23
1618349505000,Pfizer,107,48
1618349505000,Pfizer,63,15
1618349505000,Pfizer,43,9
1618349504000,Pfizer,966,259
1618249593000,Pfizer,172,51
1617988537000,Pfizer,74,16
1617988536000,Pfizer,91,18
1617988536000,Pfizer,303,64
1617988536000,Pfizer,180,25
1617988535000,Pfizer,2942,1055
1617980421000,Pfizer,55,14
1617890482000,Pfizer,91,20
1617803994000,Pfizer,40,16
1617631203000,Pfizer,102,37
1617387943000,Pfizer,115,28
1617375618000,Pfizer,68,22
1617294661000,Pfizer,52,9
1617294603000,Pfizer,221,33
1617285639000,Pfizer,49,10
1617275340000,Pfizer,36,7
1617275340000,Pfizer,69,16
1617275339000,Pfizer,187,100
1617275338000,Pfizer,51,20
1617275174000,Pfizer,243,95
1617197413000,Pfizer,157,29
1617188832000,Pfizer,51,15
1617188816000,Pfizer,109,45
1617188780000,Pfizer,1835,693
1617188692000,Pfizer,3778,1466
1617022801000,Pfizer,71,16
1616774411000,Pfizer,66,11
1616703755000,Pfizer,142,25
1616696686000,Pfizer,51,31
1616696664000,Pfizer,191,69
1616680824000,Pfizer,65,15
1616525904000,Pfizer,83,15
1616525875000,Pfizer,99,18
1616513781000,Pfizer,72,13
1616513619000,Pfizer,119,43
1616513576000,Pfizer,64,16
1616500803000,Pfizer,140,27
1616436002000,Pfizer,31,4
1616163060000,Pfizer,68,26
1616163001000,Pfizer,1750,373
1616076039000,Pfizer,58,11
1616008448000,Pfizer,75,13
1615913825000,Pfizer,40,12
1615906801000,Pfizer,523,160
1615901608000,Pfizer,22,3
1615901375000,Pfizer,98,22
1615820701000,Pfizer,90,23
1615820022000,Pfizer,17,3
1615577400000,Pfizer,62,15
1615564807000,Pfizer,76,16
1615562340000,Pfizer,75,17
1615487042000,Pfizer,76,27
1615487041000,Pfizer,112,27
1615487041000,Pfizer,125,31
1615487041000,Pfizer,78,19
1615487040000,Pfizer,36,7
1615486858000,Pfizer,289,79
1615482116000,Pfizer,33,9
1615482100000,Pfizer,68,25
1615474079000,Pfizer,45,15
1615466381000,Pfizer,350,114
1615396345000,Pfizer,205,60
1615309204000,Pfizer,156,49
