date,company,likecount,retweetcount
2021-12-10,Pfizer,27,9
2021-12-09,Pfizer,61,24
2021-12-09,Pfizer,189,67
2021-12-09,Pfizer,9,5
2021-12-09,Pfizer,44,9
2021-12-08,Pfizer,16,5
2021-12-08,Pfizer,12,1
2021-12-08,Pfizer,13,1
2021-12-08,Pfizer,3,1
2021-12-08,Pfizer,34,3
2021-12-07,Pfizer,26,5
2021-12-07,Pfizer,16,5
2021-12-07,Pfizer,18,4
2021-12-07,Pfizer,9,3
2021-12-07,Pfizer,35,13
2021-12-06,Pfizer,107,16
2021-12-03,Pfizer,68,15
2021-12-02,Pfizer,282,83
2021-12-01,Pfizer,77,18
2021-11-30,Pfizer,213,48
2021-11-30,Pfizer,21,3
2021-11-28,Pfizer,38,8
2021-11-26,Pfizer,32,9
2021-11-25,Pfizer,31,4
2021-11-25,Pfizer,30,4
2021-11-25,Pfizer,9,0
2021-11-25,Pfizer,9,1
2021-11-25,Pfizer,67,19
2021-11-24,Pfizer,102,30
2021-11-24,Pfizer,29,8
2021-11-24,Pfizer,37,4
2021-11-23,Pfizer,30,7
2021-11-22,Pfizer,52,7
2021-11-21,Pfizer,42,11
2021-11-20,Pfizer,25,5
2021-11-20,Pfizer,25,7
2021-11-19,Pfizer,46,8
2021-11-19,Pfizer,16,5
2021-11-19,Pfizer,61,12
2021-11-19,Pfizer,31,5
2021-11-19,Pfizer,29,13
2021-11-19,Pfizer,27,6
2021-11-19,Pfizer,11,3
2021-11-19,Pfizer,86,33
2021-11-18,Pfizer,22,2
2021-11-18,Pfizer,31,10
2021-11-18,Pfizer,69,11
2021-11-18,Pfizer,52,12
2021-11-18,Pfizer,41,8
2021-11-18,Pfizer,85,23
2021-11-17,Pfizer,38,7
2021-11-16,Pfizer,127,45
2021-11-16,Pfizer,54,18
2021-11-16,Pfizer,984,208
2021-11-16,Pfizer,676,337
2021-11-15,Pfizer,47,10
2021-11-15,Pfizer,54,11
2021-11-15,Pfizer,93,30
2021-11-12,Pfizer,44,28
2021-11-12,Pfizer,23,6
2021-11-12,Pfizer,111,30
2021-11-12,Pfizer,35,9
