distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax,date
53534500,425089620,618679300,0.0,2021-11-10
53752800,432567260,621728770,0.0,2021-11-11
53985400,433658780,628991980,0.0,2021-11-12
54190100,435045260,633182560,0.0,2021-11-13
54191500,434814060,633253900,0.0,2021-11-14
54191500,434620060,633253900,0.0,2021-11-15
54444900,436335980,636132860,0.0,2021-11-16
54631800,437854140,639227440,0.0,2021-11-17
54837400,439576560,642732910,0.0,2021-11-18
55240000,438758600,646583020,0.0,2021-11-19
55657500,441590360,651828250,0.0,2021-11-20
55657700,441274520,651909030,0.0,2021-11-21
55657700,440873020,651915710,0.0,2021-11-22
55864300,442505040,654696510,0.0,2021-11-23
55939200,442128440,661285780,0.0,2021-11-24
55939200,442128440,661285780,0.0,2021-11-25
55939200,442128440,661285780,0.0,2021-11-26
55939200,442128440,661285780,0.0,2021-11-27
55939200,442128440,661285780,0.0,2021-11-28
55939400,438732560,661625780,0.0,2021-11-29
56262400,440301120,664902820,0.0,2021-11-30
56468000,443585860,666473240,0.0,2021-12-01
56714100,444870840,670063370,0.0,2021-12-02
56993800,445332680,674593850,0.0,2021-12-03
57218200,445594480,674538300,0.0,2021-12-04
57218400,444220520,674529820,0.0,2021-12-05
57218400,443553680,674512060,0.0,2021-12-06
57399500,444531820,677393930,0.0,2021-12-07
57552100,446384560,684248630,0.0,2021-12-08
57792800,447888260,686479660,0.0,2021-12-09
57886000,448159600,692386030,0.0,2021-12-10
58384000,450635580,695042700,0.0,2021-12-11
58384200,450610140,695274800,0.0,2021-12-12
58384200,450587260,695277060,0.0,2021-12-13
58549800,451645420,699730410,0.0,2021-12-14
58684400,453298560,703185250,0.0,2021-12-15
58932800,456212040,705352110,0.0,2021-12-16
59054400,457209100,713188400,0.0,2021-12-17
59259300,450198700,717952740,0.0,2021-12-18
59259500,448466920,718242840,0.0,2021-12-19
59259500,446814200,718237840,0.0,2021-12-20
59445600,447620820,721039510,0.0,2021-12-21
59537600,450308820,723785980,0.0,2021-12-22
59676400,451678800,728188970,0.0,2021-12-23
59676400,451635680,729632610,0.0,2021-12-24
59676400,451583680,729732090,0.0,2021-12-25
59676400,446691440,729732690,0.0,2021-12-26
59676400,445522020,729727890,0.0,2021-12-27
59676600,445519860,729732690,0.0,2021-12-28
59799500,447669460,736842870,0.0,2021-12-29
59840500,447638200,739006580,0.0,2021-12-30
59841100,446791800,739660060,0.0,2021-12-31
59841300,445807920,739688140,0.0,2022-01-01
59841300,445372700,739686400,0.0,2022-01-02
59841300,445044220,739688740,0.0,2022-01-03
59841300,445046380,739691280,0.0,2022-01-04
59888300,448284300,743770420,0.0,2022-01-05
59941100,474958380,746196760,0.0,2022-01-06
59941100,474958380,746196760,0.0,2022-01-07
60250500,478623980,756555480,0.0,2022-01-08
60252900,478672520,756416880,0.0,2022-01-09
60258900,478677800,756364260,0.0,2022-01-10
60419800,479757580,759608900,0.0,2022-01-11
60499900,482227080,762632080,0.0,2022-01-12
60576300,483233680,765364360,0.0,2022-01-13
60600700,484753980,768266680,0.0,2022-01-14
60677200,485911980,772579920,0.0,2022-01-15
60677400,485911780,772636120,0.0,2022-01-16
60677400,485911780,772636120,0.0,2022-01-17
60677400,485914380,773471340,0.0,2022-01-18
60690600,486788580,777043840,0.0,2022-01-19
60782600,488744980,777196120,0.0,2022-01-20
60822200,489718880,780010260,0.0,2022-01-21
60901800,490481980,784577400,0.0,2022-01-22
60901800,490483180,784722600,0.0,2022-01-23
60902000,490483180,784724200,0.0,2022-01-24
60922200,491177280,786118680,0.0,2022-01-25
60986300,491605160,788475060,0.0,2022-01-26
61013800,492658760,789608260,0.0,2022-01-27
61032400,493237960,791801820,0.0,2022-01-28
61075400,493804860,794123700,0.0,2022-01-29
61075600,493804860,794152640,0.0,2022-01-30
61075600,493804860,794152440,0.0,2022-01-31
61096400,494247360,795252980,0.0,2022-02-01
61139600,495025580,796873580,0.0,2022-02-02
61153600,496224380,798139740,0.0,2022-02-03
61153600,496234180,799686440,0.0,2022-02-04
61153600,496234780,799994440,0.0,2022-02-05
61153600,496234780,800196040,0.0,2022-02-06
61153600,496234780,800196240,0.0,2022-02-07
61240200,497503580,801291760,0.0,2022-02-08
61303600,498624680,803761720,0.0,2022-02-09
61322200,499439680,805151100,0.0,2022-02-10
61341000,500141880,806609600,0.0,2022-02-11
61379400,500569080,807860200,0.0,2022-02-12
61380200,500575680,807915000,0.0,2022-02-13
61380200,500575680,807915200,0.0,2022-02-14
61394200,500919080,808668500,0.0,2022-02-15
61405400,501165080,809644600,0.0,2022-02-16
61421100,514464660,810022500,0.0,2022-02-17
61472300,514941860,811878900,0.0,2022-02-18
61494100,515420760,812698300,0.0,2022-02-19
61494100,515420760,812733300,0.0,2022-02-20
61494100,515420760,812735300,0.0,2022-02-21
61510700,515773160,813237200,0.0,2022-02-22
61527500,516151860,814406000,0.0,2022-02-23
61542800,517036660,814424480,0.0,2022-02-24
61554000,517520860,816418180,0.0,2022-02-25
61560400,517669160,817006980,0.0,2022-02-26
61560400,517669360,817041380,0.0,2022-02-27
61580100,518119860,817379380,0.0,2022-02-28
61582700,518215860,817725180,0.0,2022-03-01
61595100,518598660,818487920,0.0,2022-03-02
61617300,519678660,818871420,0.0,2022-03-03
61627500,520216760,820284760,0.0,2022-03-04
61691700,520507160,821311460,0.0,2022-03-05
61691700,520508160,821336860,0.0,2022-03-06
61691700,520508160,821344260,0.0,2022-03-07
61703300,520807860,821900860,0.0,2022-03-08
61710700,521063960,822499860,0.0,2022-03-09
61724400,521581860,822849060,0.0,2022-03-10
61727800,521998960,823947260,0.0,2022-03-11
61727800,521998960,823947260,0.0,2022-03-12
61727800,521998960,823947260,0.0,2022-03-13
61741600,522303160,824561860,0.0,2022-03-14
61753500,522539740,825031260,0.0,2022-03-15
61761900,522904300,825662260,0.0,2022-03-16
61772100,523822200,826020860,0.0,2022-03-17
61815900,524252140,827502260,0.0,2022-03-18
61815900,524252140,827502260,0.0,2022-03-19
61815900,524252740,827502260,0.0,2022-03-20
61815900,524252740,827502260,0.0,2022-03-21
61815900,524252740,827502260,0.0,2022-03-22
61838700,525108100,828944000,0.0,2022-03-23
61858900,525538000,829346700,0.0,2022-03-24
61865300,526023580,829858500,0.0,2022-03-25
61880500,526491280,830885600,0.0,2022-03-26
61880500,526491480,830915800,0.0,2022-03-27
61880500,526491480,830915800,0.0,2022-03-28
61886500,526806680,831462200,0.0,2022-03-29
61899200,527162180,832093400,0.0,2022-03-30
61912000,528211280,832587400,0.0,2022-03-31
61912000,528220880,832696360,0.0,2022-04-01
61969700,530196580,835069560,0.0,2022-04-02
61969700,530197780,835113560,0.0,2022-04-03
61969700,530197780,835113560,0.0,2022-04-04
61984500,530992380,835823960,0.0,2022-04-05
61994500,531546380,837866160,0.0,2022-04-06
62005700,532901880,838868360,0.0,2022-04-07
62017800,533854180,841244460,0.0,2022-04-08
62017800,533854180,841245060,0.0,2022-04-09
62037500,535041580,843440860,0.0,2022-04-10
62037500,535041580,843440860,0.0,2022-04-11
62048800,535671880,844496960,0.0,2022-04-12
62057600,536199180,845887560,0.0,2022-04-13
62126400,537532380,846811360,0.0,2022-04-14
62133300,538664580,849356160,0.0,2022-04-15
62147900,539859080,851060860,0.0,2022-04-16
62147900,539862480,851128160,0.0,2022-04-17
62147900,539862480,851128160,0.0,2022-04-18
62147900,539866680,851765860,0.0,2022-04-19
62181500,541332580,853098260,0.0,2022-04-20
62204500,542491080,854013660,0.0,2022-04-21
62223700,542819880,855830260,0.0,2022-04-22
62272500,543769880,857410660,0.0,2022-04-23
62272500,543770280,857415260,0.0,2022-04-24
62272500,543770480,857466660,0.0,2022-04-25
62284100,544343080,858317960,0.0,2022-04-26
62295100,544978380,859248800,0.0,2022-04-27
62364300,546121980,859872400,0.0,2022-04-28
62375300,547506880,861530100,0.0,2022-04-29
62406900,548096380,863362700,0.0,2022-04-30
62406900,548096980,863386300,0.0,2022-05-01
62406900,548096980,863386900,0.0,2022-05-02
62419900,548593080,864011800,0.0,2022-05-03
62429000,549208080,864821200,0.0,2022-05-04
62446500,550240280,865337000,0.0,2022-05-05
62459300,550770780,867091900,0.0,2022-05-06
62481500,551259980,867865400,0.0,2022-05-07
62481500,551261180,867916800,0.0,2022-05-08
62481500,551261180,867918000,0.0,2022-05-09
62493500,551758760,868626400,0.0,2022-05-10
62498100,552269660,869494300,0.0,2022-05-11
62540800,554171560,870148000,0.0,2022-05-12
62543800,554789260,872021700,0.0,2022-05-13
62558800,555464660,873206500,0.0,2022-05-14
62558800,555465660,873216100,0.0,2022-05-15
62558800,555465660,873428500,0.0,2022-05-16
62563700,555811360,873808900,0.0,2022-05-17
62572900,556656460,874726500,0.0,2022-05-18
62579300,557798360,875171600,0.0,2022-05-19
62586900,558367660,877485100,0.0,2022-05-20
62599300,558885260,879194000,0.0,2022-05-21
62599300,558888260,879226800,0.0,2022-05-22
62599300,558888260,879226800,0.0,2022-05-23
62604700,559391060,880484900,0.0,2022-05-24
62608900,559836560,881709000,0.0,2022-05-25
62639900,561870560,882554700,0.0,2022-05-26
62644900,562773260,884941000,0.0,2022-05-27
62659500,563247060,886582200,0.0,2022-05-28
62659500,563248660,886615200,0.0,2022-05-29
62659500,563248660,886615200,0.0,2022-05-30
62659500,563248660,886615200,0.0,2022-05-31
62659500,563248660,887494200,0.0,2022-06-01
62672500,564451160,888650300,0.0,2022-06-02
62679700,565393260,889379300,0.0,2022-06-03
62689700,565779060,891853200,0.0,2022-06-04
62689700,565779260,891890800,0.0,2022-06-05
62689700,565779260,891890800,0.0,2022-06-06
62694500,566329960,892663400,0.0,2022-06-07
62700200,566676760,893714700,0.0,2022-06-08
62736800,568554860,894400000,0.0,2022-06-09
62742400,569415160,896072100,0.0,2022-06-10
62745600,569672960,897350900,0.0,2022-06-11
62745600,569676360,897390500,0.0,2022-06-12
62745800,569676360,897391700,0.0,2022-06-13
62753000,570145760,898243800,0.0,2022-06-14
62758800,570676260,899002400,0.0,2022-06-15
62772200,571601160,899482900,0.0,2022-06-16
62793100,572939100,906366060,0.0,2022-06-22
62862700,580202900,915422360,0.0,2022-06-29
62884100,583778600,919798060,0.0,2022-07-06
62954300,588604700,925492320,0.0,2022-07-13
62998600,592952500,930238320,0.0,2022-07-20
63066200,597214040,937066640,106900.0,2022-07-27
63109300,600309540,942467380,677400.0,2022-08-03
63184800,604365140,948502580,1025300.0,2022-08-10
63213900,606755040,953586480,1175100.0,2022-08-17
63272400,609405140,957995080,1285800.0,2022-08-24
63303500,611365240,962142680,1397500.0,2022-08-31
63347300,616287060,972369980,1448300.0,2022-09-07
63400500,623486360,998962780,1584500.0,2022-09-14
63457400,626673660,1014337680,1651600.0,2022-09-21
63505400,634032960,1027877980,1693900.0,2022-09-28
63554200,641683160,1038611180,1723600.0,2022-10-05
63590100,648763160,1048855360,1755400.0,2022-10-12
63620900,655388660,1064174560,1787000.0,2022-10-19
63641000,660845960,1074810360,1825400.0,2022-10-26
65910600,690479800,1118630570,1948600.0,2022-11-02
63681500,671333160,1093065060,1910000.0,2022-11-09
63703700,675327360,1101512280,1944400.0,2022-11-16
63716300,679875260,1111887680,1973700.0,2022-11-23
