date,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax
2022-11-02T00:00:00.000,2805800,28807020,47649080,94400
2022-11-02T00:00:00.000,75900,928520,1609595,2400
2022-11-02T00:00:00.000,99800,1284580,1913595,4500
2022-11-02T00:00:00.000,469600,5419480,7198485,42200
2022-11-02T00:00:00.000,402400,4982700,6129680,20800
2022-11-02T00:00:00.000,1075500,10466700,16884835,32200
2022-11-02T00:00:00.000,464100,5665920,9141555,17400
2022-11-02T00:00:00.000,709000,8674700,13501955,12100
2022-11-02T00:00:00.000,12800,123140,128160,0
2022-11-02T00:00:00.000,3800,30800,14890,0
2022-11-02T00:00:00.000,54200,630600,1059880,2200
2022-11-02T00:00:00.000,171500,2035020,2850525,7400
2022-11-02T00:00:00.000,1606900,14929200,22951325,42600
2022-11-02T00:00:00.000,184100,1882700,2687920,5600
2022-11-02T00:00:00.000,12800,72500,59980,1100
2022-11-02T00:00:00.000,966600,10571640,16878490,34100
2022-11-02T00:00:00.000,258400,3349820,5932745,1900
2022-11-02T00:00:00.000,349100,3851640,4939070,19900
2022-11-02T00:00:00.000,16200,173820,203910,0
2022-11-02T00:00:00.000,80500,922960,1419620,1800
2022-11-02T00:00:00.000,113600,1607600,2095975,6700
2022-11-02T00:00:00.000,32496900,341028680,553982505,952500
2022-11-02T00:00:00.000,329600,3950900,5405670,7500
2022-11-02T00:00:00.000,264900,2915860,4444485,18200
2022-11-02T00:00:00.000,388200,4392800,6537565,9100
2022-11-02T00:00:00.000,260600,2416120,4475710,4600
2022-11-02T00:00:00.000,530600,5962240,9317980,13100
2022-11-02T00:00:00.000,103800,1183280,1804565,4200
2022-11-02T00:00:00.000,124800,1643020,2511560,3100
2022-11-02T00:00:00.000,267300,3203320,4240260,24600
2022-11-02T00:00:00.000,153300,1729120,3144350,5200
2022-11-02T00:00:00.000,197000,1583340,2947250,3600
2022-11-02T00:00:00.000,864400,10129600,15775955,31600
2022-11-02T00:00:00.000,600,25500,100710,0
2022-11-02T00:00:00.000,500400,5670520,9808885,18000
2022-11-02T00:00:00.000,94300,919000,1444360,2900
2022-11-02T00:00:00.000,1994500,20064360,35001300,25000
2022-11-02T00:00:00.000,268700,2733300,5339550,5900
2022-11-02T00:00:00.000,637000,5979340,10581595,6900
2022-11-02T00:00:00.000,107500,1004400,1379995,5700
2022-11-02T00:00:00.000,441400,5475000,8570605,12600
2022-11-02T00:00:00.000,234000,2662120,3817655,5600
2022-11-02T00:00:00.000,632800,7090660,10978060,13700
2022-11-02T00:00:00.000,398000,4553340,6236755,10100
2022-11-02T00:00:00.000,193200,2227480,3315965,5300
2022-11-02T00:00:00.000,967000,10596440,15466860,21200
2022-11-02T00:00:00.000,644500,7477140,13514300,25100
2022-11-02T00:00:00.000,210700,2399740,4921440,29000
2022-11-02T00:00:00.000,3700,28320,107710,200
2022-11-02T00:00:00.000,793400,8350280,14176935,26000
2022-11-02T00:00:00.000,24400,99880,234480,400
2022-11-02T00:00:00.000,1215000,12142620,22113610,23100
2022-11-02T00:00:00.000,160800,1681080,2477810,13800
2022-11-02T00:00:00.000,49200,509340,665015,2000
2022-11-02T00:00:00.000,1018200,10621780,17362325,21500
2022-10-26T00:00:00.000,1560500,14459220,22203165,39600
2022-10-26T00:00:00.000,2659100,26325840,44842585,83400
2022-10-26T00:00:00.000,528700,5873940,9213890,12900
2022-10-26T00:00:00.000,90600,1230900,1859925,3500
2022-10-26T00:00:00.000,774100,8116100,13736095,24600
2022-10-26T00:00:00.000,31364200,326268320,532235215,891200
